Supplementary Table 3. 1. Dispersal multipliers matrices for five time-intervals used for ancestral biogeographic state estimation using DECX.										
"WN=Western Nearctic, EN=Eastern Nearctic, NT=Neotropic, WP=Western Palearctic, EN=Eastern Palearctic, AF=Afrotropic, MD=Madagascar, IN=India, SEA=South East Asia, AU=Australasia."										
										
0 - 10 My	WN	EN	NT	WP	EP	AF	MD	IN	SEA	AU
WN	1	1	1	0.01	1	0	0	0	0.01	0.01
EN	1	1	1	0.1	0.01	0.01	0	0	0	0
NT	1	1	1	0.01	0.01	0.01	0	0	0	0.01
WP	0.01	0.1	0.01	1	1	1	0	1	0	0
EP	1	0.01	0.01	1	1	0.5	0	1	1	0.01
AF	0	0.01	0.01	1	0.5	1	1	0.5	0.5	0.01
MD	0	0	0	0	0	1	1	0.1	0.01	0.01
IN	0	0	0	1	1	0.5	0.1	1	1	0.01
SEA	0.01	0	0	0	1	0.5	0.01	1	1	1
AU	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.01	1
										
10 - 30 My	WN	EN	NT	WP	EP	AF	MD	IN	SEA	AU
WN	1	1	0.5	0.01	1	0	0	0	0.01	0.01
EN	1	1	0.5	0.1	0.01	0.01	0	0	0	0
NT	0.5	0.5	1	0.01	0.01	0.01	0	0	0	0.01
WP	0.01	0.1	0.01	1	1	0	0.1	0	0.01	0
EP	1	0.01	0.01	1	1	0.5	0	0.5	1	0.01
AF	0	0.01	0.01	0	0.5	1	1	0.5	0.5	0.01
MD	0	0	0	0.1	0	1	1	0.1	0.01	0.01
IN	0	0	0	0	0.5	0.5	0.1	1	0.5	0.01
SEA	0.01	0	0	0.01	1	0.5	0.01	0.5	1	0.5
AU	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.5	1
										
30 - 60 My	WN	EN	NT	WP	EP	AF	MD	IN	SEA	AU
WN	1	1	0.1	0.01	1	0	0	0	0.01	0.01
EN	1	1	0.1	0.5	0.01	0.01	0	0	0	0
NT	0.1	0.1	1	0.01	0.01	0.1	0	0	0.01	0.1
WP	0.01	0.5	0.01	1	0.5	1	0	0.1	0	0
EP	1	0.01	0.01	0.5	1	0.1	0	0.1	1	0.01
AF	0	0.01	0.1	1	0.1	1	1	0.1	0.1	0.01
MD	0	0	0	0	0	1	1	0.1	0.01	0.01
IN	0	0	0	0.1	0.1	0.1	0.1	1	0.1	0.01
SEA	0.01	0	0.01	0	1	0.1	0.01	0.1	1	0.1
AU	0.01	0	0.1	0	0.01	0.01	0.01	0.01	0.1	1
										
60 - 80 My	WN	EN	NT	WP	EP	AF	MD	IN	SEA	AU
WN	1	1	0.1	0.01	1	0	0	0	0.01	0.01
EN	1	1	0.1	0.5	0.01	0.01	0	0	0	0
NT	0.1	0.1	1	0.01	0	0.5	0	0	0.01	0.5
WP	0.01	0.5	0.01	1	0.5	1	0	0.01	0	0
EP	1	0.01	0	0.5	1	0	0	0.01	1	0
AF	0	0.01	0.5	1	0	1	1	0.5	0.01	0.01
MD	0	0	0	0	0	1	1	0.5	0.01	0.01
IN	0	0	0	0.01	0.01	0.5	0.5	1	0.1	0.01
SEA	0.01	0	0.01	0	1	0.01	0.01	0.1	1	0.01
AU	0.01	0	0.5	0	0	0.01	0.01	0.01	0.01	1
										
80 - 100 My	WN	EN	NT	WP	EP	AF	MD	IN	SEA	AU
WN	1	0.5	0.01	0	0.5	0	0	0	0.01	0
EN	0.5	1	0.01	1	0.1	0.01	0	0	0	0
NT	0.01	0.01	1	0.01	0	0.5	0	0	0	0.5
WP	0	1	0.01	1	0.5	0.5	0	0	0	0
EP	0.5	0.1	0	0.5	1	0	0	0	1	0
AF	0	0.01	0.5	0.5	0	1	1	1	0.01	0.01
MD	0	0	0	0	0	1	1	1	0	0.01
IN	0	0	0	0	0	1	1	1	0	0.5
SEA	0.01	0	0	0	1	0.01	0	0	1	0.01
AU	0	0	0.5	0	0	0.01	0.01	0.5	0.01	1
