R	N	W	E	A	I	U
1	0.5	0.1	0.5	0.01	0.01	0.01
0.5	1	0.01	0.01	0.01	0.01	0.01
0.1	0.01	1	1	0.5	0.0000001	0.0000001
0.5	0.01	1	1	0.1	1	0.01
0.01	0.01	0.5	0.1	1	0.1	0.01
0.01	0.01	0.0000001	1	0.1	1	1
0.01	0.01	0.0000001	0.01	0.01	1	1

R	N	W	E	A	I	U
1	0.5	0.1	0.5	0.01	0.01	0.01
0.5	1	0.01	0.01	0.01	0.01	0.01
0.1	0.01	1	1	0.5	0.0000001	0.0000001
0.5	0.01	1	1	0.1	1	0.01
0.01	0.01	0.5	0.1	1	0.1	0.01
0.01	0.01	0.0000001	1	0.1	1	1
0.01	0.01	0.0000001	0.01	0.01	1	1

R	N	W	E	A	I	U
1	0.5	0.1	0.5	0.01	0.01	0.01
0.5	1	0.01	0.01	0.01	0.01	0.01
0.1	0.01	1	1	0.5	0.0000001	0.0000001
0.5	0.01	1	1	0.1	1	0.01
0.01	0.01	0.5	0.1	1	0.1	0.01
0.01	0.01	0.0000001	1	0.1	1	0.5
0.01	0.01	0.0000001	0.01	0.01	0.5	1

R	N	W	E	A	I	U
1	0.5	0.1	0.5	0.01	0.01	0.01
0.5	1	0.01	0.01	0.01	0.01	0.01
0.1	0.01	1	1	0.5	0.0000001	0.0000001
0.5	0.01	1	1	0.1	1	0.01
0.01	0.01	0.5	0.1	1	0.1	0.01
0.01	0.01	0.0000001	1	0.1	1	0.1
0.01	0.01	0.0000001	0.01	0.01	0.1	1

R	N	W	E	A	I	U
1	0.5	0.1	0.5	0.01	0.01	0.01
0.5	1	0.01	0.01	0.01	0.01	0.01
0.1	0.01	1	1	0.1	0.0000001	0.0000001
0.5	0.01	1	1	0.01	1	0.01
0.01	0.01	0.1	0.01	1	0.1	0.01
0.01	0.01	0.0000001	1	0.1	1	0.01
0.01	0.01	0.0000001	0.01	0.01	0.01	1

R	N	W	E	A	I	U
1	0.1	0.5	0.5	0.01	0.01	0.01
0.1	1	0.01	0.01	0.01	0.01	0.5
0.5	0.01	1	1	0.1	0.0000001	0.0000001
0.5	0.01	1	1	0.01	1	0.01
0.01	0.01	0.1	0.01	1	0.5	0.01
0.01	0.01	0.0000001	1	0.5	1	0.01
0.01	0.5	0.0000001	0.01	0.01	0.01	1

R	N	W	E	A	I	U
1	0.1	0.5	0.5	0.01	0.01	0.01
0.1	1	0.01	0.01	0.1	0.01	0.5
0.5	0.01	1	0.5	0.1	0.0000001	0.0000001
0.5	0.01	0.5	1	0.01	1	0.01
0.01	0.1	0.1	0.01	1	0.5	0.01
0.01	0.01	0.0000001	1	0.5	1	0.01
0.01	0.5	0.0000001	0.01	0.01	0.01	1

R	N	W	E	A	I	U
1	0.1	0.5	0.1	0.1	0.01	0.01
0.1	1	0.0000001	0.01	1	0.01	0.5
0.5	0.0000001	1	0.1	0.1	0.0000001	0.0000001
0.1	0.01	0.1	1	0.01	1	0.01
0.1	1	0.1	0.01	1	1	0.1
0.01	0.01	0.0000001	1	1	1	0.5
0.01	0.5	0.0000001	0.01	0.1	0.5	1

END
