R	N	W	E	A	I	U
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	1	1	1	1	1	1

R	N	W	E	A	I	U
1	1	0	1	0	0	0
1	1	0	0	0	0	0
0	0	1	1	1	0	0
1	0	1	1	0	1	0
0	0	1	0	1	1	0
0	0	0	1	1	1	1
0	0	0	0	0	1	1
						
R	N	W	E	A	I	U
1	1	0	1	0	0	0
1	1	0	0	0	0	0
0	0	1	1	1	0	0
1	0	1	1	0	1	0
0	0	1	0	1	1	0
0	0	0	1	1	1	1
0	0	0	0	0	1	1
						
R	N	W	E	A	I	U
1	1	0	1	0	0	0
1	1	0	0	0	0	0
0	0	1	1	1	0	0
1	0	1	1	0	1	0
0	0	1	0	1	1	0
0	0	0	1	1	1	1
0	0	0	0	0	1	1
						
R	N	W	E	A	I	U
1	1	1	1	0	0	0
1	1	0	0	0	0	1
1	0	1	0	0	0	0
1	0	0	1	0	1	0
0	0	0	0	1	0	0
0	0	0	1	0	1	1
0	1	0	0	0	1	1
						
R	N	W	E	A	I	U
1	1	1	1	0	0	0
1	1	0	0	0	0	1
1	0	1	0	0	0	0
1	0	0	1	0	1	0
0	0	0	0	1	0	0
0	0	0	1	0	1	0
0	1	0	0	0	0	1
						
R	N	W	E	A	I	U
1	1	1	1	0	0	0
1	1	0	0	1	0	1
1	0	1	0	0	0	0
1	0	0	1	0	1	0
0	1	0	0	1	0	0
0	0	0	1	0	1	0
0	1	0	0	0	0	1
						
R	N	W	E	A	I	U
1	1	1	0	0	0	0
1	1	0	0	1	0	1
1	0	1	0	0	0	0
0	0	0	1	0	1	0
0	1	0	0	1	0	1
0	0	0	1	0	1	0
0	1	0	0	1	0	1

END
