original_name,updated_name
Amblyopone_australis_D0872,Amblyopone_australis_D0872_CASENT0106229
Anochetus_AFR01_EX2944,Anochetus_afr01_EX2944_CASENT0779894
Anochetus_AFR02_EX2930,Anochetus_afr02_EX2930_CASENT0845779
Anochetus_AFRC_TZ04_D2444,Anochetus_afrc_tz04_D2444_CASENT0250446
Anochetus_AFRC_ZA02_D2445,Anochetus_afrc_za02_D2445_CASENT0253635
Anochetus_CASC_MZ11_EX2948,Anochetus_casc_mz11_EX2948_CASENT0786292
Anochetus_CM03_EX2935,Anochetus_cm03_EX2935_CASENT0845820
Anochetus_MY06_EX2915,Anochetus_my06_EX2915_CASENT0385982
Anochetus_PE01_EX2904,Anochetus_pe01_EX2904_CASENT0373286
Anochetus_PE02_EX2905,Anochetus_pe02_EX2905_CASENT0373229
Anochetus_PH01_EX2907,Anochetus_ph01_EX2907_CASENT0265935
Anochetus_PH02_EX2908,Anochetus_ph02_EX2908_CASENT0266422
Anochetus_PH03_EX2909,Anochetus_ph03_EX2909_CASENT0267973
Anochetus_PH04_EX2910,Anochetus_ph04_EX2910_CASENT0266398
Anochetus_TH01_EX2911,Anochetus_th01_EX2911_CASENT0284344
Anochetus_UG01_EX2939,Anochetus_afr06_EX2939_CASENT0354210
Anochetus_africanus_D2420,Anochetus_africanus_D2420_CASENT0815784
Anochetus_bequaerti_EX2938,Anochetus_bequaerti_EX2938_CASENT0845817
Anochetus_bispinosus_EX2221,Anochetus_bispinosus_EX2221_CASENT0646026
Anochetus_boltoni_MAMI0509_CASENT0006943,Anochetus_boltoni_MAMI0509_CASENT0006943
Anochetus_cato_EX2895,Anochetus_cato_EX2895_CASENT0923409
Anochetus_diegensis_EX2222,Anochetus_diegensis_EX2222_CASENT0646183
Anochetus_emarginatus_EX2286a,Anochetus_emarginatus_EX2286a_CASENT0646105
Anochetus_fuliginosus_D2421,Anochetus_fuliginosus_D2421_CASENT0250071
Anochetus_goodmani_BBX435_CASENT0347692,Anochetus_goodmani_BBX435_CASENT0347692
Anochetus_grandidieri_MAMI0510_CASENT0804361,Anochetus_grandidieri_MAMI0510_CASENT0804361
Anochetus_hohenbergiae_EX2897,Anochetus_hohenbergiae_EX2897_CASENT0919827
Anochetus_horridus_EX2223,Anochetus_horridus_EX2223_CASENT0646123
Anochetus_inermis_EX2898,Anochetus_inermis_EX2898_CASENT0768091
Anochetus_isolatus_EX3026,Anochetus_isolatus_EX3026_CASENT0650204
Anochetus_katonae_EX2922,Anochetus_katonae_EX2922_CASENT0217178
Anochetus_katonae_nr1_D2423,Anochetus_katonae_nr1_D2423_CASENT0820826
Anochetus_katonae_nr2_EX2927,Anochetus_katonae_nr2_EX2927_CASENT0066876
Anochetus_kempfi_D2900,Anochetus_kempfi_D2900_LACMENT542503
Anochetus_levaillanti_D2418,Anochetus_levaillanti_D2418_CASENT0818927
Anochetus_madagascarensis_MAMI0512_CASENT0788946,Anochetus_madagascarensis_MAMI0512_CASENT0788946
Anochetus_micans_EX2280,Anochetus_micans_EX2280_CASENT0637250
Anochetus_minans_EX2224,Anochetus_minans_EX2224_CASENT0640998
Anochetus_mixtus_EX2673,Anochetus_mixtus_EX2673_ZRC_ENT00000657
Anochetus_muzziolii_EX2900,Anochetus_muzziolii_EX2900_CASENT0923411
Anochetus_myops_EX2225,Anochetus_myops_EX2225_CASENT0634708
Anochetus_neglectus_EX2913,Anochetus_neglectus_EX2913_CASENT0379431
Anochetus_obscuratus_D2438,Anochetus_obscuratus_D2438_CASENT0820822
Anochetus_paripungens_EX2901,Anochetus_paripungens_EX2901_CASENT0746783
Anochetus_pattersoni_MAMI0558,Anochetus_pattersoni_MAMI0558_CASENT0172609
Anochetus_pellucidus_D2441,Anochetus_pellucidus_D2441_CASENT0814954
Anochetus_princeps_EX2226,Anochetus_princeps_EX2226_CASENT0634783
Anochetus_pubescens_MAMI0513,Anochetus_pubescens_MAMI0513_CASENT0147365
Anochetus_punctaticeps_EX2926,Anochetus_punctaticeps_EX2926_CASENT0395033
Anochetus_renatae_EX2552,Anochetus_renatae_EX2552_CASENT0887807
Anochetus_rugosus_EX2916,Anochetus_rugosus_EX2916_CASENT0387827
Anochetus_sedilloti_EX2934,Anochetus_sedilloti_EX2934_CASENT0061604
Anochetus_simoni_EX2228,Anochetus_simoni_EX2228_JTLC000015234
Anochetus_siphneus_D2442,Anochetus_siphneus_D2442_CASENT0815716
Anochetus_talpa_D2422,Anochetus_talpa_D2422_CASENT0817421
Anochetus_targionii_EX2906,Anochetus_targionii_EX2906_CASENT0372252
