generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.129078,0,0.0995803,0
5000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.150826,-0.00154037,0.101868,0
5000,Leptogenys_carbonaria,Leptogenys_deborae,101.193,0.374728,0.00562093,0.00809225,0
10000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.146215,-0.00154037,0.0957622,0
10000,Leptogenys_afr01,Leptogenys_pe02,83.8219,0.727912,-0.00842621,0.454593,0
10000,Belonopelta_attenuata,Simopelta_jtl003,2.19813,0.0755642,-0.00775615,0.0227736,0
15000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.141512,-0.00130803,0.0773257,0
15000,Odontomachus_ph02,Odontomachus_assiniensis,26.307,0.10887,-0.0153511,0.0236885,0
15000,Leptogenys_afr01,Leptogenys_pe02,84.4489,0.588214,-0.00622223,0.387738,0
15000,Belonopelta_attenuata,Simopelta_jtl003,1.80102,0.0596849,-0.00776855,0.0150957,0
20000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0943027,-0.00124257,0.0238235,0
20000,Odontomachus_ph02,Odontomachus_assiniensis,27.5302,0.0722569,-0.00927668,0.0178446,0
20000,Leptogenys_afr01,Leptogenys_pe02,84.3803,0.430419,0.0015999,0.302435,0
20000,Myopias_mj_sp6,Myopias_my11,82.2562,0.169897,0.00595915,0.200331,0
20000,Myopias_bg02,Myopias_my05,70.1088,0.111896,0.000124221,0.0446529,0
20000,Ectomomyrmex_aciculatus,Ectomomyrmex_acutus,106.779,0.529215,0.0142624,0.020639,0
20000,Belonopelta_attenuata,Simopelta_jtl003,2.16158,0.163392,-0.0145687,0.0480709,0
20000,Platythyrea_afrc_tz01,Platythyrea_mg04,17.6316,0.148518,-0.012375,0.0521722,0
25000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0840364,-0.000740027,0.0252689,0
25000,Odontomachus_bauri,Odontomachus_hastatus,32.9892,0.0796401,-0.0203575,0.0121202,0
25000,Leptogenys_afr01,Leptogenys_pe02,84.2671,0.408405,0.00949785,0.321999,0
25000,Leptogenys_afr01,Myopias_bg02,65.3563,0.0947053,0.00631925,0.0138878,0
25000,Asphinctopone_silvestrii,Leptogenys_afr01,51.3803,0.0830599,-0.0192128,0.00969126,0
25000,Hypoponera_mj_fogo07,Hypoponera_sky_f,99.5772,0.366577,-0.0119088,0.0537674,0
25000,Hypoponera_schmidti,Hypoponera_sororcula,101.224,0.123292,-0.0120237,0.00333388,0
25000,Ectomomyrmex_aciculatus,Ectomomyrmex_acutus,104.938,0.205102,0.0268222,0.138071,0
25000,Belonopelta_attenuata,Simopelta_jtl003,1.92926,0.143857,-0.0145687,0.0371496,0
25000,Platythyrea_afrc_za01,Platythyrea_mg01,51.1284,0.0556037,-0.00370967,0.0197898,0
25000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,12.7166,0.0652109,-0.00290165,0.0207985,0
30000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0797531,-0.000740027,0.0127392,0
30000,Odontomachus_bauri,Odontomachus_hastatus,32.999,0.107535,-0.030026,0.0189692,0
30000,Leptogenys_afr01,Leptogenys_pe02,84.3542,0.34125,0.0253807,0.314916,0
30000,Leptogenys_afr01,Myopias_bg02,66.3933,0.129053,0.00548697,0.0810946,0
30000,Anochetus_afr01,Asphinctopone_silvestrii,18.207,0.117506,-0.00866345,0.0129324,0
30000,Boloponera_ikemkha,Plectroctena_cristata,91.2808,0.12016,0.000118346,0.0558872,0
30000,Hypoponera_mj_fogo07,Hypoponera_sky_f,100.048,0.313311,-0.00913535,0.0470711,0
30000,Ectomomyrmex_aciculatus,Ectomomyrmex_acutus,106.022,0.243285,0.00379674,0.0299657,0
30000,Belonopelta_attenuata,Simopelta_jtl003,1.80277,0.119841,-0.0115662,0.0424835,0
30000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,5.84604,0.0412456,0.000941527,0.00906532,0
35000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0891361,-0.00107537,0.00682001,0
35000,Odontomachus_bauri,Odontomachus_chelifer,34.8382,0.0970125,-0.0269013,0.00944527,0
35000,Leptogenys_afr01,Leptogenys_pe02,81.0219,0.33134,0.0123493,0.222596,0
35000,Leptogenys_afr01,Myopias_bg02,66.9195,0.103203,0.000600975,0.0378149,0
