generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.56795,-5566.35,5.31454,1
5000,1,5.29503,-5520.86,2.66772,0.239
10000,2,5.65628,-5334.26,2.59355,0.153
15000,3,11.8644,-5316.98,4.42059,0.252
20000,7,29.0949,-5298.92,6.7531,0.269
25000,5,22.4454,-5289.49,4.84767,0.299
30000,7,30.755,-5266.13,9.80905,0.283
35000,9,33.4068,-5265.86,14.1276,0.335
40000,11,42.7967,-5246.59,15.3921,0.347
45000,9,39.014,-5249.39,11.1419,0.369
50000,9,36.3682,-5240.52,7.71853,0.318
55000,10,44.9585,-5245.93,10.3993,0.357
60000,12,47.7519,-5241.18,14.7613,0.329
65000,10,38.95,-5238.51,13.3523,0.33
70000,10,42.4341,-5243.23,4.75016,0.373
75000,9,38.5005,-5276.43,9.81225,0.362
80000,11,45.0998,-5245.82,7.07674,0.379
85000,13,50.4786,-5241.78,10.4602,0.325
90000,16,63.8808,-5208.84,11.0877,0.381
95000,16,61.5508,-5217.72,24.3058,0.38
100000,15,68.9657,-5254.04,14.44,0.395
105000,16,56.0271,-5225.75,21.3586,0.387
110000,19,71.6483,-5200.62,19.2956,0.368
115000,18,74.3544,-5204.27,21.9042,0.393
120000,26,106.622,-5209.36,14.348,0.399
125000,25,100.27,-5208.56,19.8062,0.419
130000,19,71.7318,-5204.15,13.2558,0.389
135000,18,78.6978,-5202.53,27.9067,0.364
140000,18,66.5778,-5218.67,18.0991,0.402
145000,18,84.4629,-5211.26,20.9382,0.386
150000,15,68.1207,-5225.89,21.733,0.408
155000,17,59.579,-5211.28,16.5325,0.398
160000,15,67.7869,-5231.98,18.2255,0.396
165000,13,56.8407,-5230.98,12.47,0.352
170000,14,47.2567,-5217.71,14.1781,0.387
175000,16,62.3458,-5218.68,17.074,0.374
180000,15,67.1081,-5212.89,15.1365,0.366
185000,14,58.5606,-5226.75,13.041,0.389
190000,13,55.0624,-5236.45,16.3593,0.383
195000,13,54.7867,-5220.54,11.3711,0.352
200000,14,52.2513,-5220.55,12.5051,0.346
205000,15,55.8122,-5214.58,11.2009,0.392
210000,16,73.0193,-5223.54,18.1907,0.383
215000,13,44.4776,-5214.42,14.6692,0.351
220000,17,75.4525,-5219.66,13.9105,0.365
225000,18,69.5715,-5208.47,18.2334,0.37374
230000,22,95.8178,-5217.19,25.4117,0.411
235000,15,62.1945,-5210.78,14.3848,0.38
240000,18,77.8029,-5208.8,16.7246,0.348
245000,16,62.4367,-5209.04,12.5984,0.368
250000,14,61.1001,-5205.55,8.53327,0.37
255000,17,77.7218,-5218.11,18.4746,0.374
260000,16,73.5174,-5219.13,12.8624,0.381
265000,19,87.8517,-5226.38,13.8019,0.389
270000,16,71.3549,-5205.03,20.7065,0.336
275000,16,60.5732,-5209.27,20.0912,0.367
280000,19,77.5108,-5202.21,10.8705,0.352
285000,17,75.1842,-5207.63,19.5493,0.383
290000,20,87.686,-5191.76,26.9655,0.421
295000,20,85.0722,-5200.82,19.7942,0.371329
300000,21,89.125,-5206.54,21.6111,0.412
305000,21,80.2628,-5213.84,17.6498,0.443
310000,21,81.309,-5200.78,17.6433,0.398
315000,14,62.168,-5204.37,13.8765,0.362
320000,16,69.048,-5215.36,21.2084,0.393
325000,15,58.2174,-5225.29,13.8476,0.385929
330000,15,68.3851,-5228.24,15.8303,0.401
335000,15,63.9235,-5215.18,10.3395,0.366
340000,16,63.5626,-5206.15,14.7726,0.348
345000,16,55.4374,-5210.76,18.3766,0.374
350000,17,69.6299,-5210.42,15.4341,0.373
355000,16,70.8592,-5216.76,18.3583,0.386
360000,12,49.2545,-5221.78,11.1814,0.354
365000,12,47.3658,-5224.3,17.2009,0.363
370000,17,77.0484,-5215.61,16.4302,0.429
375000,13,55.5132,-5227.35,13.9092,0.385583
380000,14,54.241,-5210.27,19.0682,0.383
385000,15,67.5573,-5215.38,21.7678,0.372
390000,20,81.8597,-5200.45,20.9472,0.362
395000,27,122.608,-5223.96,28.9253,0.406
400000,20,88.0844,-5209.4,21.7706,0.408
405000,23,103.493,-5205.33,25.1644,0.427
410000,25,114.793,-5205.81,28.9409,0.4
415000,19,85.6034,-5206.06,20.8999,0.418
420000,20,88.5693,-5204.57,22.6814,0.393
425000,21,77.7149,-5200.53,16.804,0.396
430000,24,95.3734,-5203.2,30.1461,0.44
435000,19,83.0234,-5205.15,19.5037,0.412
440000,21,83.2736,-5203.52,22.0564,0.397
445000,19,80.3904,-5202.28,15.4878,0.399
450000,19,82.7093,-5199.92,20.2225,0.402
455000,12,54.2603,-5223.53,10.7959,0.364906
460000,16,62.1075,-5208.53,14.065,0.363
465000,16,51.4678,-5226,22.5571,0.366
470000,13,51.0851,-5227.46,14.904,0.361
475000,16,67.2611,-5214.11,10.4585,0.382176
480000,15,67.8859,-5209.25,13.9581,0.397
485000,16,63.1316,-5215.42,12.5134,0.399
490000,17,77.9341,-5210.63,12.0585,0.413
495000,23,99.6028,-5206.91,23.2057,0.399
500000,16,74.9309,-5215.22,12.169,0.373
505000,12,45.9603,-5237.72,15.8518,0.354163
510000,16,63.6614,-5207.73,19.4867,0.378444
515000,16,65.8339,-5212.58,21.3257,0.409
520000,19,78.617,-5204.59,17.99,0.385
525000,17,73.489,-5222.95,18.7072,0.415
530000,16,65.9801,-5223.43,22.3046,0.374
535000,17,66.3568,-5216.31,19.5587,0.353
540000,19,76.6947,-5207.45,14.2368,0.367
545000,19,66.2596,-5201.47,16.1144,0.351
550000,20,82.122,-5207.84,18.7957,0.385
555000,21,89.6918,-5209.38,18.0792,0.38
560000,17,64.4492,-5205.04,10.4191,0.365
565000,19,77.6615,-5211.94,17.572,0.385
570000,17,65.8019,-5206.7,19.3655,0.382
575000,16,66.7213,-5216.83,14.6415,0.38475
580000,10,36.5289,-5221.18,9.33204,0.363
585000,12,44.1534,-5210.7,13.7588,0.39725
590000,15,57.0807,-5224.32,23.0864,0.364
595000,13,49.6007,-5225.91,14.4788,0.370875
600000,12,44.3472,-5229.45,19.5136,0.366563
605000,11,38.4528,-5220.84,15.7075,0.38
610000,15,64.7551,-5216.3,14.3536,0.403
615000,20,91.5383,-5211.88,23.2314,0.405
620000,18,61.0067,-5210.13,30.8689,0.393
625000,19,70.7561,-5206.3,25.7912,0.388
630000,15,55.3371,-5209.06,15.3594,0.359
635000,14,56.8393,-5224.16,12.0445,0.337
640000,14,50.7142,-5213.67,14.5771,0.366
645000,13,44.7276,-5209.42,12.8865,0.342
650000,19,61.1226,-5215.4,17.5553,0.384
655000,12,44.266,-5219.64,19.3392,0.36032
660000,11,42.6935,-5216.76,13.0901,0.356
665000,13,41.8645,-5214.77,14.2517,0.364
670000,14,51.3449,-5207.89,18.4455,0.359
675000,15,55.6378,-5213.23,12.1418,0.388
680000,17,67.1674,-5225.08,16.6615,0.368
685000,16,64.8402,-5224.32,17.9078,0.411
690000,15,62.6168,-5213.54,7.36095,0.364
695000,15,67.759,-5220.69,14.7702,0.375463
700000,17,70.1997,-5209,12.4752,0.38
705000,18,75.5453,-5221.51,14.8827,0.369
710000,18,63.3695,-5209.85,27.3413,0.369
715000,14,53.824,-5230.06,13.0975,0.35
720000,11,42.9523,-5223.03,15.501,0.375
725000,13,48.5963,-5221.15,9.5286,0.33
730000,13,45.4968,-5219.08,11.9192,0.3594
735000,10,41.7916,-5234.74,8.49464,0.356823
740000,16,62.7482,-5212.9,16.0295,0.385
745000,15,64.3333,-5216.05,17.2208,0.36
750000,17,65.2736,-5211.42,18.0058,0.357
755000,25,109.831,-5210.46,18.5467,0.388
760000,17,68.5683,-5220.94,13.3285,0.372
