generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,4,0
3000,2,3,0
4000,1,2,1
5000,2,3,1
6000,1,2,0
7000,1,2,1
8000,2,3,1
9000,1,2,1
10000,2,3,1
11000,3,4,1
12000,2,4,0
13000,1,4,0
14000,3,4,1
15000,1,4,0
16000,3,4,0
17000,1,2,1
18000,2,3,0
19000,2,4,0
20000,1,3,0
21000,1,2,0
22000,2,4,0
23000,1,4,0
24000,2,3,0
25000,3,4,1
26000,2,4,1
27000,3,4,1
28000,3,4,1
29000,1,4,0
30000,1,2,0
31000,2,4,0
32000,1,2,0
33000,1,4,0
34000,2,4,1
35000,2,4,1
36000,1,3,0
37000,1,2,0
38000,2,3,1
39000,2,3,0
40000,1,4,0
41000,2,3,0
42000,2,4,0
43000,1,4,0
44000,1,3,0
45000,2,3,0
46000,2,3,0
47000,1,2,0
48000,2,3,0
49000,1,3,0
50000,3,4,1
51000,2,4,0
52000,2,4,0
53000,3,4,1
54000,1,4,0
55000,2,3,0
56000,2,4,0
57000,1,3,0
58000,1,4,0
59000,1,2,0
60000,2,4,0
61000,2,3,0
62000,1,3,0
63000,1,3,0
64000,1,2,0
65000,1,4,0
66000,1,2,0
67000,1,4,0
68000,3,4,0
69000,2,4,0
70000,3,4,1
71000,1,2,1
72000,2,3,0
73000,2,4,0
74000,3,4,1
75000,1,3,0
76000,1,2,1
77000,2,4,0
78000,3,4,0
79000,2,3,0
80000,1,4,0
81000,1,2,0
82000,3,4,0
83000,1,3,0
84000,1,2,0
85000,2,3,0
86000,1,4,0
87000,1,4,0
88000,1,4,0
89000,1,3,0
90000,1,3,0
91000,1,3,0
92000,2,3,1
93000,2,4,0
94000,1,4,0
95000,2,3,1
96000,2,4,0
97000,1,2,0
98000,1,3,0
99000,1,4,0
100000,3,4,1
101000,3,4,1
102000,1,2,0
103000,1,3,0
104000,1,2,0
105000,2,4,0
106000,1,3,0
107000,1,4,0
108000,2,4,0
109000,1,3,0
110000,2,3,0
111000,1,3,0
112000,1,4,0
113000,1,2,1
114000,2,4,0
115000,1,4,0
116000,1,3,0
117000,2,3,1
118000,2,4,1
119000,2,3,1
120000,1,2,0
121000,3,4,1
122000,2,3,1
123000,2,3,1
124000,2,4,1
125000,1,2,1
126000,1,4,1
127000,2,3,1
128000,1,2,0
129000,3,4,0
130000,3,4,0
131000,2,3,1
132000,2,4,0
133000,1,2,0
134000,1,3,0
135000,1,3,1
136000,2,3,1
137000,1,4,0
138000,2,3,0
139000,2,4,0
140000,3,4,1
141000,1,3,0
142000,1,2,1
143000,1,4,0
144000,2,4,0
145000,1,2,0
146000,3,4,1
147000,3,4,1
148000,1,2,0
149000,3,4,1
150000,2,3,1
151000,2,3,1
152000,1,2,0
153000,1,3,0
154000,1,4,0
155000,2,3,0
156000,1,4,0
157000,1,3,0
158000,3,4,0
159000,3,4,1
160000,2,4,0
161000,1,3,0
162000,1,3,0
163000,2,4,0
164000,1,3,0
165000,1,3,0
166000,1,2,0
167000,1,2,0
168000,1,4,0
169000,2,4,1
170000,2,3,1
171000,3,4,1
172000,1,4,0
173000,1,4,0
174000,2,4,0
175000,2,4,0
176000,1,4,0
177000,1,3,0
178000,1,3,0
179000,1,2,0
180000,3,4,1
181000,1,2,0
182000,1,4,0
183000,2,4,1
184000,2,4,1
185000,1,2,0
186000,2,3,1
187000,2,3,1
188000,3,4,1
189000,3,4,0
190000,2,3,0
191000,2,4,0
192000,2,4,0
193000,1,2,1
194000,1,4,0
195000,1,4,0
196000,1,3,1
197000,1,4,0
198000,1,3,0
199000,2,3,0
200000,2,4,0
201000,2,3,0
202000,3,4,1
203000,2,3,0
204000,3,4,1
205000,1,3,0
206000,2,4,0
207000,2,4,0
208000,1,4,0
209000,3,4,1
210000,1,3,0
211000,2,4,0
212000,1,2,1
213000,2,3,0
214000,2,3,0
215000,2,4,0
216000,1,3,0
217000,2,3,0
218000,3,4,1
219000,2,3,0
220000,2,4,0
