generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.15614,-4883.34,2.65727,1
5000,1,7.50859,-4868.83,1.48778,0.362
10000,1,7.14509,-4870.19,2.81905,0.395333
15000,1,6.51546,-4864.77,2.49875,0.371
20000,1,8.33682,-4866.94,2.21868,0.34
25000,4,19.6532,-4862.73,3.59155,0.423
30000,2,12.4174,-4855.94,5.03127,0.344
35000,5,22.0364,-4835.06,4.51389,0.32
40000,5,19.2101,-4830.9,7.43918,0.364
45000,5,24.8688,-4815.08,2.28177,0.325
50000,7,24.1897,-4801.74,10.1372,0.336
55000,7,30.2825,-4804.31,9.19558,0.37
60000,9,34.8732,-4809.66,14.3134,0.363
65000,10,47.638,-4793.07,8.30813,0.363
70000,9,35.5327,-4792.49,11.8913,0.357
75000,6,28.7941,-4807.16,4.7732,0.38
80000,14,52.5918,-4777.35,8.97506,0.39
85000,12,49.35,-4782.15,12.5763,0.326
90000,13,53.324,-4782.66,11.4904,0.406
95000,13,51.2578,-4777.75,12.3881,0.354
100000,15,43.3136,-4756.59,11.686,0.348
105000,12,57.4245,-4788.75,13.7946,0.373647
110000,17,70.3936,-4787.78,14.1066,0.346
115000,11,50.7298,-4796.96,7.62506,0.377091
120000,14,55.3368,-4792.75,26.3682,0.411
125000,13,58.4736,-4775.46,12.0112,0.343
130000,7,26.5166,-4811.04,11.62,0.352
135000,12,49.4527,-4784.82,13.0865,0.328
140000,12,54.6994,-4779.6,6.439,0.36
145000,12,51.6024,-4781.46,15.5591,0.357
150000,10,44.1903,-4785.52,10.8211,0.375
155000,10,43.2461,-4785.96,9.61344,0.363
160000,9,38.1356,-4788.45,7.74855,0.404
165000,9,33.4481,-4803.39,16.5519,0.357
170000,9,36.943,-4797.93,14.2612,0.38625
175000,11,43.8165,-4790.7,15.0143,0.359
180000,10,36.0633,-4780.54,3.74477,0.3788
185000,8,35.229,-4788.85,14.227,0.382
190000,10,40.2249,-4795.2,11.9771,0.374
195000,9,32.4886,-4785.38,8.86221,0.34
200000,9,39.8243,-4792.24,5.1184,0.381444
205000,12,56.5678,-4781.58,12.0924,0.394
210000,12,56.2117,-4778.2,15.6257,0.377
215000,16,76.5897,-4774.82,13.0334,0.43
220000,17,78.0492,-4782.29,17.0366,0.384
225000,16,68.7513,-4785.58,20.5021,0.403
230000,11,46.0435,-4794.16,12.0389,0.381
235000,12,48.3609,-4784.82,11.6966,0.407
240000,9,38.0866,-4784.53,8.06662,0.347
245000,8,32.3286,-4805.51,7.81914,0.369
250000,10,43.899,-4796.24,13.7098,0.373845
255000,9,34.5282,-4788.37,8.545,0.35425
260000,11,52.3996,-4789.97,7.45361,0.367
265000,9,40.2608,-4816.02,8.31604,0.405
270000,8,21.5346,-4798.2,7.03089,0.333
275000,7,24.2041,-4799.34,5.02097,0.3604
280000,9,36.3317,-4791.4,10.4543,0.343
285000,8,34.5951,-4798.39,7.66418,0.387
290000,7,28.5581,-4792.4,4.81406,0.337
295000,9,38.1383,-4790.21,5.07,0.318
300000,11,47.9803,-4788.22,14.1044,0.392
305000,10,41.5375,-4801.25,6.63837,0.408
310000,8,18.2388,-4809.26,11.7242,0.36635
315000,10,39.4682,-4804.29,9.49598,0.391
320000,8,36.1989,-4801.82,7.10626,0.368
325000,8,34.8274,-4798.77,4.95552,0.351
330000,11,44.0937,-4799.08,7.64497,0.374
335000,7,32.2774,-4806.38,6.50411,0.356
340000,6,24.5376,-4816.61,4.64297,0.362
345000,9,34.8044,-4811.79,8.48694,0.397
350000,11,49.6645,-4808.67,3.86859,0.392
355000,8,35.09,-4817.94,10.7327,0.37
360000,6,27.4399,-4812.13,3.88014,0.389
365000,11,46.5902,-4799.22,10.2205,0.361
370000,10,38.6032,-4786.46,15.0326,0.391
375000,12,48.8264,-4790.28,13.9564,0.364
380000,9,39.0406,-4788.83,10.7133,0.346
385000,11,52.8552,-4788.94,14.1825,0.38
390000,10,40.5097,-4806.02,6.32127,0.406
395000,16,64.6984,-4777.8,12.4501,0.412
