generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,4,1
3000,3,4,1
4000,1,3,1
5000,3,4,1
6000,1,3,1
7000,1,3,1
8000,1,4,1
9000,1,3,1
10000,1,4,1
11000,2,4,1
12000,1,2,1
13000,1,3,0
14000,1,4,1
15000,1,3,1
16000,3,4,1
17000,1,2,1
18000,2,3,1
19000,3,4,1
20000,1,2,1
21000,2,4,1
22000,2,3,1
23000,2,4,1
24000,1,3,1
25000,3,4,0
26000,1,3,1
27000,3,4,1
28000,3,4,1
29000,2,3,1
30000,1,3,0
31000,1,2,0
32000,1,3,0
33000,2,3,1
34000,1,3,0
35000,1,3,0
36000,2,4,1
37000,1,4,0
38000,1,2,0
39000,1,2,0
40000,3,4,0
41000,1,2,0
42000,2,3,0
43000,3,4,1
44000,1,3,0
45000,1,2,0
46000,1,2,0
47000,2,3,0
48000,1,2,0
49000,1,3,0
50000,1,4,0
51000,1,2,1
52000,1,2,1
53000,1,4,0
54000,3,4,1
55000,1,2,1
56000,1,3,0
57000,2,4,0
58000,3,4,1
59000,1,3,0
60000,1,4,1
61000,2,4,0
62000,2,3,0
63000,2,3,0
64000,3,4,1
65000,1,4,0
66000,3,4,0
67000,1,4,0
68000,1,2,1
69000,2,3,1
70000,1,3,1
71000,2,4,0
72000,1,4,0
73000,3,4,0
74000,1,3,0
75000,2,3,1
76000,3,4,0
77000,1,3,1
78000,2,3,1
79000,1,3,0
80000,2,4,0
81000,1,4,0
82000,2,3,1
83000,2,4,0
84000,1,4,0
85000,1,2,1
86000,3,4,0
87000,3,4,1
88000,3,4,1
89000,1,4,0
90000,1,4,0
91000,1,4,0
92000,1,2,1
93000,2,3,1
94000,2,4,1
95000,1,3,1
96000,3,4,1
97000,2,4,1
98000,1,4,0
99000,3,4,1
100000,1,4,0
101000,1,4,0
102000,2,3,1
103000,1,2,0
104000,2,3,1
105000,2,4,1
106000,1,3,0
107000,2,3,1
108000,3,4,1
109000,1,2,0
110000,1,3,0
111000,1,2,1
112000,1,4,0
113000,1,3,1
114000,3,4,1
115000,1,3,1
116000,2,3,0
117000,2,4,1
118000,1,4,1
119000,2,4,1
120000,3,4,1
121000,1,2,1
122000,2,3,0
123000,2,3,0
124000,1,3,1
125000,3,4,1
126000,1,4,0
127000,2,3,0
128000,1,2,1
129000,3,4,1
130000,3,4,1
131000,1,3,0
132000,3,4,1
133000,2,4,0
134000,1,2,0
135000,1,2,1
136000,1,4,0
137000,2,3,0
138000,1,4,0
139000,1,3,1
140000,1,4,0
141000,1,2,1
142000,1,3,0
143000,3,4,1
144000,1,3,0
145000,1,4,1
146000,2,3,0
147000,2,3,1
148000,1,4,1
149000,2,3,1
150000,1,3,0
151000,1,3,1
152000,3,4,0
153000,1,4,0
154000,2,4,0
155000,1,3,1
156000,2,4,1
157000,2,3,1
158000,2,4,1
159000,2,4,0
160000,1,4,0
161000,2,3,0
162000,2,3,0
163000,1,4,0
164000,2,3,1
165000,2,3,1
166000,1,3,1
167000,1,3,1
168000,3,4,1
169000,1,3,1
170000,1,2,1
171000,2,3,1
172000,3,4,1
173000,3,4,0
174000,1,4,0
175000,1,4,0
176000,3,4,1
177000,2,4,0
178000,2,4,0
179000,1,4,0
180000,2,3,0
181000,1,4,0
182000,2,4,0
183000,1,2,1
184000,1,2,1
185000,1,4,0
186000,1,3,1
187000,1,3,1
188000,2,3,0
189000,2,3,0
190000,1,2,1
191000,2,3,1
192000,2,3,1
193000,2,4,1
194000,3,4,1
195000,3,4,1
196000,1,4,0
197000,1,3,1
198000,3,4,0
199000,2,4,1
200000,1,4,0
201000,2,4,0
202000,1,2,0
203000,1,4,0
204000,1,2,1
205000,1,3,1
206000,2,4,0
207000,2,4,0
208000,1,2,0
209000,2,3,0
210000,1,2,0
211000,3,4,1
212000,1,3,0
213000,1,2,0
214000,1,2,0
215000,1,4,0
216000,2,3,1
217000,1,3,0
218000,3,4,1
219000,1,3,0
220000,1,4,0
221000,1,3,0
222000,1,2,1
223000,3,4,0
224000,1,2,1
225000,2,4,0
226000,2,4,0
227000,1,4,0
228000,2,4,1
229000,2,4,1
230000,2,4,1
231000,1,2,0
232000,2,3,1
233000,1,3,0
234000,2,4,0
235000,1,3,0
236000,1,4,0
237000,1,3,0
238000,3,4,1
239000,1,3,0
240000,1,4,0
241000,1,3,0
242000,3,4,1
243000,2,3,1
244000,1,4,0
245000,2,3,1
246000,1,2,0
247000,2,3,1
248000,2,4,1
249000,2,4,1
250000,2,3,1
251000,2,4,1
252000,2,3,1
253000,2,4,1
254000,1,4,0
255000,3,4,1
256000,2,3,0
257000,1,4,0
258000,1,2,1
259000,1,3,0
260000,2,4,0
261000,2,4,0
262000,1,3,0
263000,2,3,0
264000,3,4,1
265000,2,3,0
266000,1,2,1
267000,2,3,1
268000,1,3,0
269000,1,2,0
270000,2,3,1
271000,1,2,0
272000,1,4,0
273000,2,3,1
274000,3,4,1
275000,1,2,0
276000,1,3,0
277000,2,3,0
278000,3,4,1
279000,1,2,0
280000,3,4,0
281000,2,4,1
282000,1,2,0
283000,1,2,0
284000,1,3,1
285000,1,4,1
286000,2,3,1
287000,2,4,0
288000,1,3,0
289000,3,4,1
290000,1,2,1
291000,3,4,1
292000,2,4,0
293000,1,3,0
294000,1,2,0
295000,1,2,1
296000,1,3,0
297000,1,4,0
298000,3,4,1
299000,1,2,1
300000,3,4,1
301000,1,3,0
302000,2,3,1
303000,2,3,1
304000,2,3,0
305000,2,3,0
306000,2,4,0
307000,1,3,0
308000,2,4,0
309000,2,4,1
310000,1,2,0
311000,1,2,0
312000,1,4,0
313000,1,2,0
314000,3,4,1
315000,1,2,0
316000,2,4,1
317000,3,4,0
318000,2,4,0
319000,1,4,0
320000,1,2,0
321000,1,3,0
322000,1,3,0
323000,2,3,1
324000,1,2,0
325000,1,3,0
326000,1,2,0
327000,1,2,0
328000,3,4,1
329000,2,4,1
330000,1,4,0
331000,1,3,0
332000,2,4,1
333000,2,3,1
334000,2,4,0
335000,2,4,1
336000,3,4,1
337000,1,2,0
338000,1,2,0
339000,2,3,1
340000,2,3,1
341000,1,4,0
342000,1,3,0
343000,2,3,1
344000,2,3,1
345000,1,2,0
346000,1,2,1
347000,1,2,1
348000,2,3,0
349000,1,3,0
350000,1,2,0
