generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
5000,Neoponera_bucki,Platythyrea_arnoldi,0,0.150166,0.000304842,0.0822776,0
5000,Platythyrea_arnoldi,Platythyrea_quadridenta,56.3214,0.0948629,-0.00813718,0.0444966,0
10000,Neoponera_bucki,Platythyrea_arnoldi,0,0.147564,0.000671989,0.0816782,0
10000,Platythyrea_arnoldi,Platythyrea_quadridenta,50.5775,0.0621953,0.0127087,0.0632628,0
15000,Neoponera_bucki,Platythyrea_arnoldi,0,0.145853,0.00095072,0.0884662,0
15000,Platythyrea_arnoldi,Platythyrea_quadridenta,8.99562,0.0850882,-0.00244869,0.0610077,0
20000,Neoponera_bucki,Platythyrea_arnoldi,0,0.118775,0.00264279,0.0628816,0
20000,Platythyrea_arnoldi,Platythyrea_quadridenta,49.4549,0.0323595,0.0263328,0.0282955,0
25000,Neoponera_bucki,Platythyrea_arnoldi,0,0.128215,0.00121024,0.060498,0
25000,Hypoponera_vc02,Hypoponera_opaciceps,119.999,0.3231,-0.0125007,0.0580701,0
25000,Diacamma_violaceum,Diacamma_geometricum,109.53,0.287064,0.0105586,0.0584442,0
25000,Platythyrea_frontalis,Platythyrea_cribrinodis,109.46,0.103713,0.00584331,0.0535031,0
25000,Platythyrea_clypeata,Platythyrea_gracillima,101.53,0.0868542,-0.0158441,0.0110105,0
25000,Platythyrea_arnoldi,Platythyrea_quadridenta,21.6418,0.0377283,0.00986977,0.0178918,0
30000,Neoponera_bucki,Platythyrea_arnoldi,0,0.102502,0.00435594,0.0908524,0
30000,Mesoponera_subiridescens,Paltothyreus_tarsatus,64.3143,0.0592825,-0.0239731,0.00727458,0
30000,Leptogenys_afr02,Leptogenys_afr09,105.817,0.260927,-0.00959706,0.095344,0
30000,Leptogenys_ergatogyna,Leptogenys_saussurei,81.9809,0.133314,0.0053263,0.00804264,0
30000,Hypoponera_exigua,Hypoponera_dulcis,71.9787,0.108005,0.00227455,0.0105461,0
30000,Diacamma_violaceum,Diacamma_geometricum,102.16,0.28371,0.0121962,0.014967,0
35000,Neoponera_bucki,Platythyrea_arnoldi,0,0.0990465,0.0040206,0.084832,0
35000,Mesoponera_subiridescens,Paltothyreus_tarsatus,63.6377,0.0428384,-0.00621973,0.000390285,0
35000,Leptogenys_pe03,Leptogenys_foveonates,101.497,0.166487,-0.0102045,0.160332,0
35000,Leptogenys_ergatogyna,Leptogenys_saussurei,85.2547,0.136289,0.00757742,0.0358841,0
35000,Myopias_mj_utai_1,Myopias_my11,107.345,0.240182,-0.00499071,0.0204234,0
35000,Hypoponera_exigua,Hypoponera_dulcis,51.4915,0.0774245,0.0146251,0.0206843,0
35000,Diacamma_violaceum,Diacamma_rugosum,113.222,0.306317,0.0108824,0.0785538,0
35000,Thaumatomyrmex_br02,Thaumatomyrmex_ferox,75.658,0.391243,-5.66253e-005,0.347528,0
40000,Neoponera_bucki,Platythyrea_arnoldi,0,0.101961,0.00367419,0.0878879,0
40000,Anochetus_siphneus,Odontomachus_angulatus,66.3811,0.147933,-6.30143e-005,0.00370413,0
40000,Mesoponera_subiridescens,Paltothyreus_tarsatus,64.7519,0.0642727,-0.0197401,0.00325006,0
40000,Leptogenys_ergatogyna,Leptogenys_saussurei,83.7853,0.18819,-0.00332264,0.0191691,0
40000,Myopias_mj_utai_1,Myopias_my11,105.336,0.421805,-0.0149023,0.0112209,0
40000,Hypoponera_exigua,Hypoponera_dulcis,53.5467,0.088223,0.00974354,0.0135996,0
40000,Ponera_ph03,Ponera_psw_my02,101.514,0.192559,0.000839128,0.0938711,0
40000,Diacamma_violaceum,Diacamma_geometricum,110.768,0.360042,-0.0172342,0.0481591,0
40000,Rasopone_jtl027,Rasopone_lunaris,107.474,0.179478,0.0119274,0.0345467,0
