generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.45873,-4883.34,0.265727,1
5000,1,9.17007,-4868.83,0.789878,0.361
10000,1,7.72197,-4871.54,1.98468,0.354
15000,1,9.79514,-4867.04,0.439118,0.355
20000,1,9.66388,-4867.65,0.902987,0.34
25000,4,18.6148,-4860.53,1.55303,0.402
30000,2,11.0043,-4854.73,2.00728,0.343
35000,5,23.2094,-4835.13,2.8595,0.317
40000,5,25.92,-4832.65,1.76971,0.35
45000,5,28.1329,-4821.25,1.0312,0.377
50000,5,21.4011,-4815.47,3.01586,0.350588
55000,5,23.7385,-4823.78,3.06795,0.315
60000,5,26.1946,-4820.76,4.45208,0.323
65000,7,37.3296,-4821.5,3.04476,0.344
70000,7,31.6061,-4808.61,2.06041,0.345833
75000,7,29.9988,-4803.08,2.98759,0.359
80000,6,22.4123,-4809.66,4.84604,0.364
85000,6,29.6482,-4809.73,4.16869,0.33
90000,10,38.6633,-4792.68,5.29074,0.376
95000,9,37.1039,-4795.84,2.98802,0.37975
100000,12,55.0813,-4798.93,4.90996,0.331
105000,10,38.0366,-4787.96,1.90596,0.377
110000,13,53.785,-4784.1,6.88265,0.347
115000,11,43.2273,-4781.24,6.71394,0.374
120000,10,37.5634,-4785.99,3.43622,0.355
125000,9,36.365,-4799.46,3.74563,0.359
130000,8,34.5905,-4811.39,6.41379,0.368
135000,9,31.9399,-4788.18,5.23211,0.311
140000,9,28.5482,-4787.44,4.93853,0.336
145000,13,47.7947,-4787.17,10.8974,0.381
150000,11,37.222,-4789.05,8.03557,0.378
155000,10,33.6877,-4791.56,4.71434,0.3416
160000,10,29.2318,-4788.45,3.99519,0.368
165000,11,41.5679,-4777.78,7.20159,0.366
170000,5,22.863,-4817.62,2.67552,0.346959
175000,9,30.5931,-4790.71,4.7461,0.358
180000,9,36.5358,-4785.28,5.09712,0.373833
185000,8,34.087,-4789.18,4.59527,0.357
190000,9,37.6555,-4798.68,4.20827,0.395
195000,9,30.7836,-4787.73,4.17347,0.357
200000,9,38.1851,-4792.12,4.46537,0.34
205000,9,35.9285,-4788.17,5.96723,0.353
210000,8,37.9912,-4791.94,3.1176,0.357
215000,10,43.8077,-4793.67,5.61282,0.37025
220000,9,34.6195,-4791.79,3.17221,0.36725
225000,9,32.5237,-4790.93,5.47276,0.36
230000,7,29.2531,-4809.53,2.48282,0.368
235000,7,22.9946,-4791.47,5.40922,0.36
240000,8,35.5561,-4788.81,2.77077,0.337
245000,8,32.9528,-4802.92,4.30793,0.369667
250000,8,31.5596,-4791.93,5.35982,0.32
255000,9,29.766,-4784.86,4.76717,0.341
260000,8,36.4219,-4810.2,3.06246,0.373
265000,9,35.7018,-4797.49,3.99338,0.381
270000,9,39.3017,-4800.21,4.41254,0.363
275000,6,27.3024,-4799.57,2.2924,0.313
280000,10,44.9469,-4792.28,2.63915,0.381
285000,6,30.0223,-4807.07,2.9413,0.351
290000,8,32.6115,-4791.99,4.16814,0.367
295000,7,28.6776,-4809.98,3.56575,0.325
300000,8,32.6269,-4809.74,5.81463,0.363
305000,8,31.022,-4797.98,3.81694,0.371
310000,7,24.5703,-4805.7,3.19973,0.355429
315000,7,25.9067,-4813.45,5.20468,0.380167
320000,6,26.4533,-4809.72,1.90405,0.382
325000,7,33.2965,-4806.36,3.87291,0.336
330000,10,37.7973,-4791.06,5.11165,0.385
335000,7,29.4823,-4806.32,3.68262,0.36575
340000,6,21.1357,-4803.49,4.08889,0.351833
345000,7,23.8488,-4797.36,4.35708,0.317
350000,6,21.5015,-4801.18,3.28113,0.325
355000,6,26.1707,-4808.44,3.57029,0.358
360000,7,30.4781,-4806.79,2.49545,0.377
365000,7,27.2113,-4816.41,3.36948,0.405
370000,9,39.9449,-4800.05,3.93813,0.407
375000,6,24.2331,-4820.46,3.01024,0.360187
380000,6,29.8147,-4808.64,2.36659,0.363
385000,6,28.439,-4805.81,2.96277,0.349
390000,8,34.4261,-4798.41,5.71397,0.346
395000,8,30.3341,-4799.77,3.22465,0.365
400000,7,28.6047,-4794.67,4.14858,0.382143
405000,10,41.2354,-4794.67,3.59198,0.38
410000,11,46.3186,-4792.84,5.99382,0.353
415000,11,46.1929,-4798.97,6.41875,0.424
420000,8,24.8674,-4796.38,5.51805,0.372556
425000,7,25.4077,-4806.73,5.18687,0.358
430000,7,24.709,-4800.73,6.54213,0.368
435000,6,26.5774,-4803.24,2.32861,0.364
440000,6,20.7508,-4805.45,3.9305,0.3654
445000,7,34.3087,-4813.08,2.98468,0.3872
450000,6,25.2096,-4811.71,3.96388,0.348
455000,5,27.269,-4812.3,0.835199,0.365
460000,9,32.6538,-4797.94,8.47647,0.344
465000,6,21.6208,-4805.15,4.41011,0.378
470000,7,34.0922,-4810.36,3.72812,0.426
475000,5,16.3238,-4823.03,1.59952,0.359276
480000,7,28.4828,-4795.18,4.24148,0.370833
485000,6,29.7397,-4800.73,1.42213,0.365875
490000,6,16.8468,-4803.2,5.10298,0.324
495000,7,32.0494,-4805.81,3.31673,0.328
500000,10,34.8145,-4791.74,10.7075,0.398
505000,7,32.7814,-4798.9,3.80137,0.379286
510000,8,33.6389,-4808.02,2.87762,0.372786
515000,10,32.8628,-4792.11,4.93535,0.42
520000,7,27.0876,-4796.72,4.42152,0.333
525000,9,35.4308,-4791.97,5.47101,0.346
530000,8,27.3157,-4796.51,7.95448,0.3676
535000,8,32.0167,-4792.89,5.2307,0.356
540000,7,24.434,-4790.79,4.48783,0.339
545000,9,31.9466,-4786.23,6.90731,0.374
550000,9,35.2378,-4784.1,3.6492,0.326
555000,10,36.9731,-4785.87,5.43663,0.363
560000,15,57.7063,-4781.4,9.54319,0.378
565000,12,54.2209,-4788.62,3.39818,0.364
570000,7,32.2179,-4796.34,3.60847,0.396
575000,10,41.9658,-4786.14,4.82153,0.379111
