generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,4,0
3000,2,3,0
4000,1,2,1
5000,2,3,1
6000,1,2,0
7000,1,2,1
8000,2,3,0
9000,1,3,1
10000,2,3,0
11000,3,4,1
12000,2,4,0
13000,1,4,0
14000,3,4,0
15000,1,3,0
16000,3,4,1
17000,1,2,1
18000,2,3,0
19000,2,4,1
20000,1,3,0
21000,1,4,0
22000,2,4,0
23000,1,2,1
24000,3,4,1
25000,1,4,0
26000,3,4,1
27000,1,4,1
28000,1,4,1
29000,2,4,0
30000,2,3,0
31000,3,4,1
32000,2,4,0
33000,2,3,0
34000,3,4,0
35000,3,4,1
36000,1,2,0
37000,2,3,1
38000,1,2,0
39000,1,2,1
40000,3,4,0
41000,1,2,1
42000,1,4,0
43000,3,4,0
44000,2,3,1
45000,1,3,1
46000,1,3,0
47000,2,3,1
48000,1,2,0
49000,1,3,0
50000,1,4,0
51000,1,2,0
52000,1,2,0
53000,1,4,0
54000,3,4,0
55000,1,2,1
56000,1,4,0
57000,2,3,1
58000,2,4,0
59000,1,2,1
60000,2,4,0
61000,2,3,1
62000,1,2,0
63000,1,2,1
64000,2,3,0
65000,2,4,0
66000,2,3,0
67000,2,4,0
68000,1,4,0
69000,3,4,1
70000,1,3,0
71000,2,4,0
72000,2,3,0
73000,1,2,1
74000,2,3,0
75000,2,4,0
76000,1,4,0
77000,3,4,1
78000,2,4,0
79000,2,3,0
80000,1,4,0
81000,1,3,0
82000,2,4,0
83000,1,2,0
84000,1,3,0
85000,2,3,0
86000,1,4,0
87000,1,4,0
88000,1,4,0
89000,1,2,1
90000,1,2,1
91000,1,2,1
92000,1,3,0
93000,1,4,0
94000,2,4,0
95000,1,3,0
96000,3,4,1
97000,2,4,0
98000,1,2,1
99000,1,3,0
100000,2,3,1
101000,2,3,1
102000,1,4,0
103000,1,2,0
104000,1,4,0
105000,3,4,1
106000,1,2,1
107000,2,4,0
108000,3,4,0
109000,1,2,1
110000,2,3,1
111000,1,3,0
112000,1,4,0
113000,1,2,0
114000,1,4,0
115000,2,4,1
116000,3,4,1
117000,1,4,1
118000,1,2,0
119000,2,4,1
120000,2,3,0
121000,1,4,0
122000,1,2,1
123000,1,2,1
124000,2,4,1
125000,2,3,1
126000,3,4,1
127000,1,2,1
128000,2,3,1
129000,1,4,1
130000,1,4,0
131000,3,4,0
132000,1,4,0
133000,2,4,0
134000,2,3,1
135000,2,3,1
136000,2,4,0
137000,1,3,0
138000,2,4,0
139000,1,2,1
140000,2,4,0
141000,2,3,1
142000,1,2,1
143000,2,4,0
144000,1,4,0
145000,1,2,1
146000,3,4,0
147000,3,4,1
148000,1,2,1
149000,3,4,1
150000,1,4,0
151000,1,4,0
152000,1,2,1
153000,1,4,0
154000,1,3,0
155000,2,4,0
156000,1,3,1
157000,3,4,0
158000,1,4,0
159000,1,4,0
160000,2,4,0
161000,1,3,1
162000,1,3,0
163000,2,4,0
164000,1,3,0
165000,1,3,0
166000,1,2,0
167000,1,2,0
168000,1,4,0
169000,2,4,1
170000,2,3,1
171000,3,4,1
172000,1,4,0
173000,1,4,0
174000,2,4,0
175000,2,4,0
176000,1,4,0
177000,1,3,0
178000,1,3,0
179000,1,2,0
180000,3,4,1
181000,1,2,0
182000,1,4,0
183000,2,4,1
184000,2,4,1
185000,1,2,0
186000,2,3,1
187000,2,3,1
188000,3,4,1
189000,3,4,0
190000,2,3,0
191000,2,4,0
192000,2,4,0
193000,1,2,1
194000,1,4,0
195000,1,4,0
196000,1,3,0
197000,3,4,1
198000,1,4,0
199000,1,2,1
200000,1,3,0
201000,1,2,1
202000,1,3,0
203000,2,3,0
204000,1,3,0
205000,1,4,0
206000,2,3,1
207000,2,3,1
208000,3,4,1
209000,1,4,0
210000,3,4,0
211000,1,2,1
212000,1,3,0
213000,3,4,0
214000,3,4,1
215000,2,4,1
216000,1,3,0
217000,2,3,0
218000,3,4,1
219000,2,3,0
220000,2,4,1
