generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.106002,0,0.0612687,0
5000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0941429,0,0.0551341,0
5000,Odontomachus_ph02,Odontomachus_bauri,122.376,0.166206,-0.0116422,0.0148345,0
5000,Leptogenys_afr01,Mesoponera_mj_sp6,91.3884,0.0724462,0.00570301,0.000291309,0
5000,Diacamma_mj_sp1,Diacamma_mj_timor01,158.407,0.206083,0.00459263,0.043468,0
5000,Simopelta_jtl003,Simopelta_jtl005,144.627,0.0621693,0.00302758,0.032573,0
10000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0916724,0.000424451,0.0577986,0
10000,Anochetus_afr01,Odontomachus_ph02,104.744,0.14724,-0.00213743,0.0555423,0
10000,Diacamma_mj_sp1,Diacamma_mj_timor01,155.635,0.566773,-0.0127913,0.253288,0
15000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0872076,0.000728952,0.0491625,0
15000,Anochetus_afr01,Odontomachus_ph02,102.118,0.143094,-0.00226317,0.0195239,0
15000,Diacamma_mj_sp1,Diacamma_mj_timor01,158.765,0.398961,-0.00577497,0.082509,0
20000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.073013,0.000491868,0.0337129,0
20000,Odontomachus_ph02,Odontomachus_bauri,148.8,0.143973,-0.00341861,0.00446552,0
20000,Leptogenys_afr01,Myopias_bg02,97.5753,0.0913889,0.00219748,0.00858664,0
20000,Diacamma_mj_sp1,Diacamma_geometricum,149.101,0.246661,-0.00301878,0.150836,0
25000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0814333,0.00127644,0.0347695,0
25000,Diacamma_mj_sp1,Diacamma_geometricum,136.771,0.326315,0.00940406,0.33662,0
25000,Platythyrea_clypeata,Platythyrea_gracillima,107.683,0.0299082,0.0227253,0.0139266,0
25000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,73.8963,0.160042,-0.0147737,0.0618444,0
30000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0826659,0.00127644,0.0523872,0
30000,Leptogenys_afr01,Leptogenys_acutangula,125.338,0.155969,-0.0066424,0.00479293,0
30000,Diacamma_mj_sp1,Diacamma_geometricum,111.005,0.255406,0.0130589,0.302758,0
30000,Platythyrea_afrc_tz01,Platythyrea_arnoldi,68.3155,0.124877,-0.00646021,0.0694249,0
35000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.079869,0.000941096,0.0437529,0
35000,Leptogenys_kitteli,Leptogenys_drepanon,159.749,0.0491289,0.0145626,0.0470406,0
35000,Leptogenys_afr01,Leptogenys_pe02,128.819,0.175975,-0.00928152,0.00260572,0
