generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.64515,-5502.63,2.65727,1
5000,4,22.106,-5461.51,15.1608,0.356
10000,2,8.35982,-5482.56,1.89299,0.328
15000,2,11.1747,-5482.3,2.82233,0.35
20000,3,17.7464,-5453.48,1.90878,0.381
25000,3,12.9023,-5474.28,3.89121,0.323
30000,3,14.6525,-5448.81,6.16398,0.322
35000,6,25.9276,-5441.07,3.42578,0.305
40000,5,15.2511,-5461.13,7.45187,0.375
45000,5,16.0457,-5428.99,4.77217,0.3348
50000,8,29.0618,-5410.79,9.88391,0.36
55000,9,44.3722,-5418.53,12.0448,0.361455
60000,10,48.6396,-5397.48,8.19771,0.374
65000,9,38.1993,-5399.27,11.9983,0.364
70000,11,38.3799,-5395.81,10.8353,0.373
75000,14,62.5613,-5381.31,12.5018,0.362
80000,11,40.1246,-5386.75,8.59404,0.361
85000,10,43.516,-5387.25,9.00338,0.345
90000,10,41.6598,-5388.53,10.1364,0.3665
95000,7,29.265,-5402.38,9.71433,0.336
100000,11,48.2164,-5392.03,13.7445,0.36
105000,12,46.4782,-5396.13,9.78821,0.351
110000,12,48.8309,-5385.28,10.3291,0.377
115000,11,42.1257,-5379.83,15.2565,0.322
120000,12,45.7402,-5390.34,12.6392,0.365
125000,12,46.0628,-5392.65,10.1536,0.354
130000,8,32.5123,-5397.91,9.00664,0.321
135000,9,41,-5404.14,10.4466,0.336
140000,10,29.9522,-5389.63,5.63801,0.417
145000,14,54.168,-5384.9,17.8356,0.38575
150000,7,18.9841,-5394.55,3.3402,0.283
155000,13,50.6137,-5392.62,11.7786,0.375
160000,9,34.5547,-5396.42,7.08197,0.34
165000,13,45.9775,-5392.12,14.2313,0.311
170000,12,46.5854,-5386.8,11.3674,0.366
175000,12,40.7062,-5389.55,16.6255,0.377
180000,15,54.9978,-5390.05,20.3387,0.359
185000,10,44.9982,-5405.39,16.0212,0.371
190000,10,40.3223,-5395.18,15.6732,0.365
195000,9,35.0363,-5410.64,9.90226,0.372
200000,10,38.6159,-5392.54,10.5943,0.307
205000,9,33.0064,-5393.52,8.11424,0.377
210000,7,27.4565,-5407.49,3.34679,0.337
215000,8,37.8398,-5402.45,5.98689,0.356
220000,9,41.2891,-5398.58,5.53324,0.321
225000,9,39.4315,-5390.98,6.95133,0.304
230000,10,40.1907,-5391.6,7.51246,0.343
235000,13,59.9231,-5393.39,10.5485,0.372
240000,11,43.7896,-5400.16,14.1095,0.329
245000,9,35.2493,-5400.1,9.68597,0.337
250000,7,28.2475,-5411.65,7.50963,0.339
255000,9,35.1912,-5394.41,12.4824,0.36
260000,11,46.7433,-5395.02,9.79664,0.382
265000,9,34.3211,-5396.68,6.33427,0.337
270000,12,49.4011,-5386.82,14.6103,0.354
275000,11,49.2833,-5384.46,8.03306,0.362
280000,10,43.0181,-5391.42,4.3959,0.333
285000,10,36.869,-5388.26,10.7222,0.376
290000,8,32.2204,-5393.73,5.0165,0.346
295000,9,39.1257,-5404.54,18.7918,0.336
300000,13,47.625,-5413.61,17.1055,0.36
305000,11,43.2947,-5412.17,10.7595,0.385
310000,11,35.0389,-5400.64,10.897,0.381
315000,6,24.8424,-5409.88,8.86697,0.348737
320000,8,25.5843,-5403.31,12.724,0.324167
325000,8,34.3379,-5413.08,8.07738,0.353333
330000,9,35.6228,-5402.28,8.80328,0.353833
335000,9,30.1373,-5402.63,6.44616,0.358
340000,9,32.3131,-5403.11,9.74849,0.315
345000,9,19.5778,-5394.7,10.5407,0.343
350000,11,42.1265,-5404.41,12.6414,0.381
355000,14,50.6164,-5393.18,11.8475,0.346
360000,9,30.8532,-5400.04,10.4042,0.321
365000,11,38.1769,-5393.39,13.5002,0.337
370000,12,45.3318,-5390.97,14.3812,0.392
375000,14,54.6462,-5380.57,10.428,0.367
380000,12,38.1836,-5382.26,6.94807,0.369
385000,12,47.8769,-5385.73,11.1778,0.339
390000,10,43.505,-5398.46,21.2883,0.351
395000,17,70.8073,-5380.96,11.3916,0.414
400000,10,38.0422,-5389.85,8.83622,0.349
405000,16,58.1644,-5380.74,14.1004,0.381
410000,11,41.4906,-5396.3,12.7973,0.359
415000,14,58.6938,-5399.27,14.2779,0.39
420000,12,52.6658,-5398.15,9.61927,0.392
425000,11,46.159,-5387.35,12.8185,0.357
430000,11,47.7424,-5388.99,15.3861,0.356
435000,11,47.103,-5388.29,15.4905,0.3825
440000,12,35.0181,-5388.25,9.11316,0.342
445000,9,30.1221,-5394.85,16.4949,0.350737
450000,12,47.4744,-5388.72,17.8754,0.357
455000,13,55.0314,-5394.08,19.2962,0.35
460000,14,60.5406,-5391.93,8.36506,0.382
465000,15,62.7392,-5394.29,18.0972,0.377
470000,13,53.1474,-5387.32,9.14582,0.389
475000,17,66.3412,-5388.42,16.3059,0.394
480000,9,39.393,-5400.72,6.51755,0.359
485000,11,50.1056,-5400.45,15.0525,0.392
490000,10,48.4699,-5395.7,9.71055,0.391
495000,9,37.9188,-5397.47,11.9772,0.379
500000,13,44.6276,-5385.85,14.4627,0.369
505000,14,58.2077,-5387.62,17.8209,0.419
510000,6,27.8281,-5412.21,6.08611,0.35
515000,14,55.5323,-5396.41,8.93912,0.392667
520000,11,43.9659,-5395.47,11.4729,0.325
525000,11,44.7479,-5396.56,13.5585,0.363
530000,7,26.854,-5393.43,2.60296,0.3545
535000,12,56.3723,-5399.73,9.82573,0.37
540000,13,55.886,-5389.57,17.0792,0.373
545000,11,44.3887,-5398.5,4.37724,0.384
550000,9,29.8826,-5391.63,10.6677,0.315
555000,8,25.0967,-5386.06,11.3914,0.299
560000,9,36.0208,-5408.53,10.4916,0.351
565000,12,57.7808,-5411.26,9.35753,0.388
570000,8,36.8318,-5400.19,6.69158,0.372
575000,8,32.8793,-5401.75,9.67594,0.37525
580000,9,35.4418,-5399.83,8.43064,0.339
585000,13,53.9385,-5390.95,11.0578,0.37175
590000,12,48.9667,-5387.72,9.68322,0.376
595000,12,53.9342,-5391.03,18.3495,0.41
600000,10,38.947,-5394.14,6.61542,0.38225
605000,11,46.0391,-5396.74,11.1869,0.379
610000,12,52.5984,-5391.81,13.9045,0.359
615000,9,41.3656,-5401.45,9.63456,0.345
620000,8,33.6793,-5393.96,5.75039,0.364
625000,10,42.3306,-5392.95,9.998,0.382
630000,8,35.5678,-5402.47,9.07118,0.322
635000,10,43.6042,-5398.02,8.37957,0.339
640000,8,36.1426,-5400.9,6.08659,0.353625
645000,8,33.5565,-5394.65,8.67572,0.353
650000,12,36.461,-5395.06,10.0567,0.349714
655000,10,45.1758,-5397.03,5.23916,0.365744
660000,13,53.2816,-5389.51,13.7512,0.367
665000,10,37.0528,-5388.24,9.54131,0.337
670000,13,56.9958,-5400.94,14.939,0.368071
675000,10,46.419,-5395.91,8.71982,0.338769
680000,15,61.4137,-5404.09,18.7241,0.349
685000,12,61.3055,-5412.9,4.63818,0.418
690000,14,56.2005,-5384.85,10.7136,0.373
695000,9,34.3234,-5379.71,9.4033,0.347
700000,11,41.7231,-5393.1,16.9354,0.367
705000,13,56.4464,-5383.67,17.1001,0.361
710000,10,42.3508,-5386.93,11.0061,0.36
715000,11,47.9987,-5388.96,18.92,0.349
720000,15,58.6974,-5393.5,15.6305,0.364333
725000,19,77.8588,-5393.8,18.7571,0.371
730000,15,50.8173,-5367.28,14.8591,0.39
735000,7,33.2289,-5409.16,5.37153,0.348125
740000,6,29.3964,-5405.33,5.28717,0.308
745000,15,52.7276,-5377.4,14.3431,0.339
750000,21,75.1806,-5361.48,19.7764,0.353
755000,22,90.0961,-5362.24,20.2861,0.387
760000,19,77.1463,-5368.11,13.236,0.402
765000,19,77.0906,-5368.12,25.76,0.389
770000,21,85.7084,-5375.37,24.8953,0.389
775000,17,66.907,-5366.67,14.7431,0.341
780000,14,56.42,-5376,16.6732,0.36
785000,14,56.1536,-5377.79,10.6709,0.356
790000,16,61.1596,-5373.22,12.7382,0.401
795000,11,35.9143,-5382.71,9.49727,0.357
800000,9,33.2424,-5398.09,6.30699,0.361
805000,9,29.6009,-5395.11,11.3504,0.385
810000,9,35.7044,-5389.47,9.8911,0.337
815000,8,29.5236,-5393.91,5.1252,0.316
820000,11,42.995,-5396.48,15.3347,0.3555
825000,10,37.3541,-5390.24,12.2504,0.352
830000,11,40.8556,-5381.13,13.0869,0.346
835000,12,42.8489,-5384,15.9809,0.356
840000,9,34.2882,-5388.76,6.86001,0.337
845000,15,66.4154,-5383.47,13.2964,0.357
850000,10,41.0707,-5395.15,11.4335,0.327
855000,11,48.79,-5389.66,11.1942,0.354
860000,11,43.8077,-5401.02,7.64459,0.344
