generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.25006,-4316.31,2.65727,1
5000,1,-2.87031,-4299.38,0.71333,0.342
10000,3,5.20329,-4276.23,2.23866,0.355
15000,2,3.28325,-4270.54,2.20774,0.384
20000,2,6.14693,-4276.68,0.715167,0.363889
25000,3,5.84852,-4275.28,2.61548,0.403
30000,2,3.42641,-4273.11,2.65676,0.3542
35000,4,15.9484,-4262.18,2.0963,0.324
40000,3,11.3416,-4262.42,2.52615,0.351
45000,5,6.40163,-4247.14,2.20189,0.345857
50000,5,18.519,-4238.42,5.14029,0.345556
55000,5,19.0711,-4249.9,4.02709,0.387
60000,4,10.804,-4249.2,2.21706,0.355
65000,5,16.5723,-4243.59,6.68714,0.374
70000,4,7.0495,-4237.68,6.17715,0.337722
75000,7,23.4814,-4227.03,6.44498,0.355
80000,9,30.0689,-4219.84,6.24929,0.37
85000,10,33.9879,-4225.16,7.44234,0.363
90000,10,34.8563,-4226.35,8.29403,0.396
95000,11,37.5397,-4217.56,14.7631,0.364
100000,6,16.9063,-4220.65,7.56246,0.36825
105000,8,28.3243,-4225.96,8.92661,0.366
110000,14,41.759,-4215.55,13.0873,0.392
115000,11,37.9003,-4222.1,15.4625,0.39
120000,9,26.8463,-4224.6,5.16053,0.389
125000,11,30.594,-4215.56,10.5277,0.362
130000,9,27.5984,-4208.07,8.30196,0.372
135000,9,30.4482,-4220.77,7.43217,0.316
140000,8,30.3673,-4208.72,6.55142,0.362
145000,14,47.6714,-4212.89,18.8934,0.371
150000,13,47.2911,-4214.66,15.4923,0.387
155000,11,31.1396,-4205.66,7.03672,0.393
160000,8,32.7152,-4223.39,9.79688,0.406
165000,10,36.12,-4221.94,10.1297,0.392
170000,7,13.0499,-4225,4.2603,0.338
175000,16,56.2783,-4207.08,14.7385,0.4
180000,13,45.8466,-4200.17,12.9119,0.363
185000,14,56.5891,-4203.92,16.7347,0.383
190000,12,37.2261,-4203.34,14.7474,0.385
195000,13,38.9297,-4193.48,10.7773,0.374
200000,8,25.9508,-4218.17,4.99754,0.33
205000,7,22.9348,-4221.56,3.62928,0.379971
210000,8,21.9045,-4214.95,13.3051,0.343
215000,12,35.8937,-4202.8,10.9948,0.416
220000,13,42.5133,-4209.95,9.23441,0.344
225000,14,36.062,-4191.74,19.158,0.347
230000,11,25.9314,-4201.55,8.26689,0.368
235000,13,55.9971,-4214.26,14.3466,0.361
240000,17,64.0422,-4211.07,13.8967,0.399
245000,10,39.1812,-4209.72,9.04365,0.393
250000,11,40.7055,-4211.85,11.0209,0.386
255000,12,38.9484,-4214.58,10.5692,0.383
260000,13,52.7796,-4218.14,15.6357,0.395
265000,9,34.4474,-4225.53,3.63659,0.369
270000,12,37.9585,-4213.75,11.3121,0.366
275000,11,33.407,-4199.81,9.51114,0.354
280000,13,46.4985,-4204.97,19.6071,0.384
285000,10,39.396,-4214.53,7.20336,0.376364
290000,11,41.6241,-4203.74,7.91215,0.413
